1,Red,RED(x=5, y=5),2581333
2,Blue,REDSWAP(),2932417
3,Red,BLUE(x=7, y=4),3021869333
4,Blue,RED(x=4, y=6),3025339750
5,Red,BLUE(x=8, y=1),6039466791
6,Blue,RED(x=6, y=5),6041215417
7,Red,BLUE(x=7, y=5),9054554791
8,Blue,RED(x=6, y=3),9055076584
9,Red,BLUE(x=7, y=3),12071690624
10,Blue,RED(x=6, y=7),12067547168
11,Red,BLUE(x=8, y=6),15088189457
12,Blue,RED(x=3, y=6),15079792335
13,Red,BLUE(x=9, y=0),18104422915
14,Blue,RED(x=6, y=9),18093482085
15,Red,BLUE(x=5, y=7),21119418707
16,Blue,RED(x=6, y=6),21106692585
17,Red,BLUE(x=9, y=8),24130822707
18,Blue,RED(x=1, y=7),24120168376
19,Red,BLUE(x=8, y=7),27149282540
20,Blue,RED(x=9, y=5),27136772959
21,Red,BLUE(x=8, y=5),30163459998
22,Blue,RED(x=0, y=8),30150427084
23,Red,BLUE(x=8, y=8),33183641998
24,Blue,RED(x=10, y=5),33165138918
25,Red,BLUE(x=7, y=2),36198446123
26,Blue,RED(x=9, y=6),36182020460
27,Red,BLUE(x=8, y=9),39204145248
28,Blue,RED(x=3, y=10),39184973335
29,Red,BLUE(x=8, y=10),42205926373
Blue,39184973335
Red,42205926373
winner,Red,WIN
